episode,q_learning_mean_reward,q_learning_moving_average,q_learning_rolling_std,sarsa_mean_reward,sarsa_moving_average,sarsa_rolling_std
299,-58.200000,-47.480000,52.497033,-21.900000,-23.680000,13.065313
300,-78.400000,-45.450000,53.141406,-20.000000,-23.790000,13.085440
301,-68.700000,-47.620000,58.101833,-21.500000,-23.880000,13.034333
302,-37.700000,-45.410000,56.077457,-22.200000,-24.160000,13.239205
303,-14.600000,-43.350000,54.661991,-18.400000,-20.780000,3.870161
304,-23.500000,-38.690000,47.100185,-22.000000,-20.890000,3.877086
305,-67.800000,-43.800000,54.577779,-19.200000,-20.780000,3.705737
306,-54.400000,-45.540000,53.930236,-49.400000,-23.530000,11.863973
307,-58.400000,-48.770000,58.541877,-19.100000,-23.380000,11.841352
308,-60.300000,-52.200000,60.185565,-41.900000,-25.560000,17.902086
309,-65.900000,-52.970000,60.657759,-32.500000,-26.620000,20.530351
310,-59.200000,-51.050000,57.705068,-28.900000,-27.510000,23.467370
311,-45.800000,-48.760000,58.362540,-20.000000,-27.360000,23.294182
312,-25.900000,-47.580000,58.592978,-29.700000,-28.110000,24.291925
313,-56.400000,-51.760000,61.806743,-27.900000,-29.060000,26.900671
314,-79.500000,-57.360000,66.886230,-19.600000,-28.820000,26.946186
315,-24.600000,-53.040000,60.056980,-28.200000,-29.720000,29.633485
316,-46.400000,-52.240000,60.393121,-19.000000,-26.680000,21.282750
317,-15.200000,-47.920000,55.456516,-19.000000,-26.670000,21.204187
318,-25.500000,-44.440000,53.885360,-19.200000,-24.400000,15.111653
319,-68.200000,-44.670000,57.080830,-28.900000,-24.040000,14.837645
320,-48.000000,-43.550000,59.219967,-18.000000,-22.950000,13.878577
321,-57.700000,-44.740000,54.654174,-22.000000,-23.150000,14.028417
322,-46.200000,-46.770000,55.866665,-19.500000,-22.130000,11.199792
323,-68.100000,-47.940000,52.956160,-20.000000,-21.340000,8.743005
324,-46.600000,-44.650000,48.682769,-21.000000,-21.480000,8.778564
325,-45.600000,-46.750000,49.937539,-20.100000,-20.670000,5.887096
326,-45.700000,-46.680000,52.950101,-19.200000,-20.690000,5.863651
327,-78.900000,-53.050000,62.043537,-20.600000,-20.850000,5.943160
328,-24.700000,-52.970000,61.397632,-21.300000,-21.060000,6.058867
329,-44.700000,-50.620000,59.828918,-31.100000,-21.280000,6.658753
330,-100.200000,-55.840000,60.221814,-20.900000,-21.570000,6.552471
331,-47.100000,-54.780000,60.330769,-18.900000,-21.260000,6.273601
332,-69.400000,-57.100000,64.659728,-20.500000,-21.360000,6.243447
333,-25.500000,-52.840000,62.133918,-21.600000,-21.520000,6.241110
334,-38.100000,-51.990000,61.813227,-19.700000,-21.390000,6.085537
335,-47.500000,-52.180000,60.500313,-20.400000,-21.420000,6.053423
336,-69.800000,-54.590000,62.195725,-20.200000,-21.520000,6.257931
337,-25.000000,-49.200000,56.976954,-19.100000,-21.370000,6.110004
338,-67.800000,-53.510000,59.820424,-40.300000,-23.270000,9.946943
339,-25.000000,-51.540000,57.027491,-20.800000,-22.240000,8.780006
340,-35.600000,-45.080000,50.063918,-30.400000,-23.190000,11.628684
341,-102.100000,-50.580000,57.152105,-54.500000,-26.750000,18.818773
342,-36.400000,-47.280000,52.773751,-20.000000,-26.700000,18.803170
343,-34.900000,-48.220000,53.682691,-19.300000,-26.470000,18.717055
344,-46.600000,-49.070000,55.596775,-30.900000,-27.590000,19.796283
345,-69.300000,-51.250000,59.341530,-19.900000,-27.540000,19.799781
346,-78.800000,-52.150000,62.238975,-20.700000,-27.590000,19.806643
347,-47.900000,-54.440000,64.567380,-49.600000,-30.640000,25.435701
348,-110.500000,-58.710000,72.930045,-29.500000,-29.560000,23.813454
349,-15.400000,-57.750000,71.926860,-29.700000,-30.450000,24.708823
350,-67.500000,-60.940000,77.086589,-29.000000,-30.310000,27.530125
351,-58.600000,-56.590000,72.694114,-19.000000,-26.760000,20.261467
352,-37.100000,-56.660000,73.190670,-18.900000,-26.650000,20.277585
353,-58.400000,-59.010000,78.340449,-18.900000,-26.610000,20.350616
354,-98.300000,-64.180000,81.732087,-31.300000,-26.650000,23.094834
355,-79.800000,-65.230000,81.572296,-20.500000,-26.710000,23.101797
356,-66.900000,-64.040000,74.103902,-19.800000,-26.620000,23.109668
357,-34.900000,-62.740000,74.551537,-20.000000,-23.660000,13.923388
358,-68.200000,-58.510000,68.887213,-19.700000,-22.680000,11.278720
359,-37.300000,-60.700000,68.353196,-29.800000,-22.690000,11.378955
360,-25.100000,-56.460000,62.689340,-19.500000,-21.740000,8.511768
361,-48.100000,-55.410000,62.050721,-21.300000,-21.970000,8.504953
362,-47.900000,-56.490000,63.116075,-19.200000,-22.000000,8.481413
363,-56.400000,-56.290000,61.247690,-21.800000,-22.290000,8.610448
364,-25.800000,-49.040000,59.146400,-30.000000,-22.160000,6.634566
365,-89.900000,-50.050000,61.740354,-28.800000,-22.990000,9.161404
366,-89.300000,-52.290000,63.707957,-29.100000,-23.920000,11.820220
367,-36.400000,-52.440000,63.119545,-38.600000,-25.780000,15.522400
368,-14.700000,-47.090000,60.075027,-19.600000,-25.770000,15.482125
369,-57.300000,-49.090000,64.361804,-20.400000,-24.830000,14.387180
370,-56.500000,-52.230000,64.565153,-17.500000,-24.630000,14.466010
371,-14.000000,-48.820000,60.273457,-20.400000,-24.540000,14.634118
372,-80.100000,-52.040000,65.583515,-20.000000,-24.620000,14.625375
373,-102.600000,-56.660000,73.406081,-18.500000,-24.290000,14.512380
374,-65.900000,-60.670000,74.892321,-39.600000,-25.250000,15.678040
375,-36.800000,-55.360000,71.420498,-28.400000,-25.210000,17.529718
376,-36.800000,-50.110000,65.020658,-27.900000,-25.090000,19.385292
377,-67.700000,-53.240000,66.339548,-28.200000,-24.050000,16.736915
378,-99.400000,-61.710000,74.882693,-18.200000,-23.910000,16.681141
379,-56.900000,-61.670000,73.995543,-18.600000,-23.730000,16.503676
